gene,umap_1,umap_2,importance,category
4833420G17Rik,4.612084,2.3015585,9.063286492547012e-05,Other Genes
4833439L19Rik,3.0061274,5.3732767,8.781155890940559e-05,Other Genes
4921504E06Rik,5.3575735,2.0943606,4.818658452213916e-09,Other Genes
4921509C19Rik,3.161616,5.9633074,1.6078115488483825e-08,Other Genes
4921513I03Rik,5.083754,2.458649,1.5143716249139575e-07,Other Genes
4921522P10Rik,3.6493146,4.944706,4.6790616908966123e-07,Other Genes
4921524J17Rik,5.514323,4.765107,5.527440331593316e-05,Other Genes
4921528I07Rik,3.6107671,3.41254,9.030496017517596e-08,Other Genes
4921536K21Rik,5.7068725,3.8835084,7.130941666518939e-07,Other Genes
4930402F06Rik,2.2809498,2.6683466,7.22560745807486e-08,Other Genes
4930426L09Rik,5.7155,2.7132094,5.257131339988379e-07,Other Genes
4930432E11Rik,3.8811674,1.4294099,5.237181721501549e-07,Other Genes
4930433I11Rik,4.0889854,5.349707,1.4102584549718383e-08,Other Genes
4930438A08Rik,5.5918403,4.4269724,6.64222008058263e-07,Other Genes
4930444P10Rik,5.753794,4.2102566,1.1407026787353807e-07,Other Genes
4930447C04Rik,3.9683912,3.8428612,1.0310456246675349e-06,Other Genes
4930448K20Rik,4.373212,3.6516874,3.8533832954596456e-08,Other Genes
4930453N24Rik,5.677095,4.1728435,0.00014309035930420983,Other Genes
4930503L19Rik,3.6983733,4.285164,2.5178758843774312e-05,Other Genes
4930518I15Rik,6.283965,4.890019,1.427645149743473e-05,Other Genes
4930519F09Rik,2.435135,3.5274677,2.9579170866153324e-07,Other Genes
4930519G04Rik,5.6803718,3.7425137,8.835184834266281e-08,Other Genes
4930523C07Rik,2.3931687,4.8158545,8.141690045583877e-06,Other Genes
4930529C04Rik,4.5672297,2.3448732,3.590578870216728e-07,Other Genes
4930544L04Rik,3.975297,3.0820591,6.750366769277241e-08,Other Genes
4930550C14Rik,4.7387085,3.427752,9.815400614599681e-07,Other Genes
4930555F03Rik,4.603222,5.431389,1.7825220122592684e-07,Other Genes
4930556J24Rik,4.194706,4.881729,5.493290180684333e-07,Other Genes
4930558K02Rik,3.1129854,2.83131,3.352626696473453e-08,Other Genes
4930562C15Rik,2.3612754,2.6198235,2.0622088063202715e-06,Other Genes
4930563M21Rik,3.9453683,1.3728815,7.882044840815814e-08,Other Genes
4930564D02Rik,2.4315352,5.349786,4.545130916841255e-08,Other Genes
4930568D16Rik,4.4293017,3.5922318,2.027948037132378e-08,Other Genes
4930579F01Rik,5.0112305,3.4570715,3.7478904246222244e-07,Other Genes
4930579G24Rik,3.8816762,5.382767,7.004225613538724e-05,Other Genes
4930597O21Rik,3.6155436,2.3796823,2.446001992840691e-08,Other Genes
4931400O07Rik,5.1963325,3.7890391,5.678011552618076e-09,Other Genes
4931406C07Rik,5.1087074,2.5296147,1.599129392674172e-05,Other Genes
4931414P19Rik,5.168279,4.5112386,3.8551405993052505e-06,Other Genes
4931422A03Rik,5.4000063,3.4349053,1.6736295564755093e-07,Other Genes
4931429L15Rik,3.7268283,3.2456505,4.991885054161277e-09,Other Genes
4931440P22Rik,3.3632243,5.325618,1.4850208222624096e-07,Other Genes
4932414N04Rik,4.4723234,4.0659075,1.4029550347170876e-06,Other Genes
4932416K20Rik,3.7726164,2.1631637,1.811844755574589e-08,Other Genes
4933402D24Rik,5.573544,2.1432483,4.298795848543151e-07,Other Genes
4933402N03Rik,2.7383401,4.4040017,1.414952898679047e-08,Other Genes
4933407L21Rik,3.6311023,4.9701614,3.1535332472638117e-07,Other Genes
4933411K16Rik,3.7698307,5.172157,7.177165094760203e-09,Other Genes
4933427D06Rik,5.7663517,3.1453013,8.604345803739434e-08,Other Genes
4933427D14Rik,4.099929,5.4757037,1.8020325280961848e-05,Other Genes
4933427G23Rik,6.2522483,3.3455546,1.333501468339946e-06,Other Genes
4933428G20Rik,5.723622,4.786031,1.8959330111426038e-07,Other Genes
4933430I17Rik,5.6750355,2.1667995,5.737519286366872e-07,Other Genes
4933434E20Rik,2.9455354,3.0224633,0.0033029336953528275,Other Genes
5031439G07Rik,6.3587394,3.6424432,5.903134495237051e-05,Other Genes
5530401A14Rik,2.6453881,5.4867954,1.8120446813119893e-07,Other Genes
5730409E04Rik,4.355618,3.0545995,6.885926699094987e-06,Other Genes
5730416F02Rik,3.844963,4.6032076,2.0786504503720015e-07,Other Genes
5730455P16Rik,2.4033475,4.0930643,5.0718645668052306e-05,Other Genes
5730507C01Rik,2.6363773,5.218492,3.5936222668241917e-07,Other Genes
5730522E02Rik,4.475913,3.951984,1.5263574622765275e-08,Other Genes
5830417I10Rik,4.646461,3.070613,1.408773839488569e-05,Other Genes
6030445D17Rik,3.1104057,3.029609,1.352901863845664e-07,Other Genes
6030458C11Rik,2.5557196,3.5342817,5.422883588193303e-05,Other Genes
6030468B19Rik,3.8949509,2.9980047,3.848021832274473e-07,Other Genes
6030498E09Rik,3.1999485,5.3877735,3.0450860927735984e-08,Other Genes
6330549D23Rik,6.400523,3.959872,2.495876247660224e-06,Other Genes
6430548M08Rik,5.9326205,3.2891693,1.804616203614519e-05,Other Genes
6430550D23Rik,2.8840108,4.8109465,2.737054873183649e-06,Other Genes
6430571L13Rik,5.6152363,2.3463728,2.3064834311281212e-08,Other Genes
6820431F20Rik,5.42815,3.9331496,5.9184470381552686e-05,Other Genes
9030624G23Rik,3.8795843,2.884425,1.1082023080281429e-07,Other Genes
9130008F23Rik,3.4274032,2.4935296,7.399162861131347e-06,Other Genes
9130230L23Rik,5.2241,2.2355297,1.8195682769135532e-05,Other Genes
9230109A22Rik,4.1595917,4.000672,3.8308866333577275e-07,Other Genes
9230112D13Rik,4.199184,3.1133046,5.749044137050948e-07,Other Genes
9330159F19Rik,3.7514539,2.1719446,1.5542697985566912e-07,Other Genes
9430015G10Rik,6.7706504,4.2775893,2.588483914433645e-05,Other Genes
9430038I01Rik,5.879706,4.8527846,4.946338982705507e-05,Other Genes
9430041J12Rik,1.9545584,4.2296066,4.471637662676912e-08,Other Genes
9530068E07Rik,6.1163054,3.88419,0.0002544402631900193,Other Genes
9830107B12Rik,2.4709346,3.7708066,3.4416548087871e-08,Other Genes
9930012K11Rik,3.5266972,2.0343487,1.430877445833122e-05,Other Genes
9930022D16Rik,5.691635,3.9276333,4.3530711915369395e-07,Other Genes
9930111J21Rik1,2.812215,4.728711,9.96006768909052e-07,Other Genes
9930111J21Rik2,3.1138966,3.9632852,1.403203168301559e-05,Other Genes
A130010J15Rik,5.3665824,3.8522658,2.499354883469857e-05,Other Genes
A1BG,5.314437,5.2898335,1.2543710810303297e-05,Other Genes
A1BG-AS1,5.124202,5.4030466,1.2838405194568131e-06,Other Genes
A1CF,2.7460752,4.333014,1.755626586479539e-08,Other Genes
A1bg,2.6330912,3.0831351,2.8411815132778616e-08,Other Genes
A230052G05Rik,3.821749,3.498204,5.990391285498332e-08,Other Genes
A230083G16Rik,5.225195,3.4008462,1.2040339982510394e-07,Other Genes
A2M,5.181678,4.557646,3.4998570191141655e-07,Other Genes
A2M-AS1,1.8075446,4.1383986,3.868868362941308e-07,Other Genes
A2ML1,4.9024253,4.4496846,9.586906808945039e-09,Other Genes
A2ML1-AS1,2.5841067,2.352015,2.330840528992321e-09,Other Genes
A2ML1-AS2,3.4445655,2.3431816,2.330840528992321e-09,Other Genes
A3GALT2,3.6407516,3.5866802,2.330840528992321e-09,Other Genes
A430005L14Rik,4.055864,6.348417,6.471331592547357e-05,Other Genes
A430033K04Rik,3.8634107,5.152665,1.0412599210930179e-05,Other Genes
A4GALT,2.9491668,5.7607427,1.4930465369647212e-06,Other Genes
A4GNT,5.726277,3.1459324,1.9173813620520445e-09,Other Genes
A4galt,3.323032,3.7303102,4.846903765643573e-06,Other Genes
A530016L24Rik,3.5971403,3.5516,4.720586234236351e-08,Other Genes
A530040E14Rik,3.5178833,4.1918387,2.002347582819318e-06,Other Genes
A530053G22Rik,3.7258224,4.6275725,3.6986382462534716e-08,Other Genes
A530064D06Rik,3.869417,3.252466,2.715849907109337e-07,Other Genes
A630001G21Rik,2.4689698,4.8481646,4.703058714389354e-05,Other Genes
A630010A05Rik,1.9970185,3.6107993,1.50283347137723e-07,Other Genes
A730049H05Rik,2.978236,6.089381,7.448855527736632e-07,Other Genes
A830005F24Rik,3.4398563,2.5629437,1.3668792466488508e-06,Other Genes
A830018L16Rik,2.2723792,4.298433,3.871243648894013e-06,Other Genes
A930004D18Rik,3.1013498,2.5750475,4.6143643622236645e-06,Other Genes
A930016O22Rik,5.3152375,2.6027346,1.7678016454901053e-07,Other Genes
A930033H14Rik,4.55772,5.067836,6.582326543721876e-07,Other Genes
AA467197,5.5659485,3.5917904,1.0629963986746367e-05,Other Genes
AA474408,3.5502338,3.3860676,6.000079712913064e-06,Other Genes
AA986860,3.439131,2.9576082,9.95955341812032e-07,Other Genes
AAAS,4.267166,5.262646,1.088905747956934e-06,Other Genes
AACS,3.331814,5.0416436,3.540167366156715e-07,Other Genes
AADAT,4.386843,2.6965077,1.5039231276359976e-09,Other Genes
AAGAB,3.208164,5.1008716,1.8004598257646361e-06,Other Genes
AAK1,5.4127684,2.553985,4.24754717451438e-05,Other Genes
AAMDC,5.3560395,5.0836563,2.113791105614543e-06,Other Genes
AAMP,5.593917,5.388795,4.069532548752856e-06,Other Genes
AANAT,2.2449834,4.583232,6.770052589654135e-10,Other Genes
AAR2,3.3810873,3.071776,8.576680605198425e-08,Other Genes
AARD,4.993014,3.6718097,3.156087814513062e-07,Other Genes
AARS,5.143389,3.9242933,5.972656664980166e-07,Other Genes
AARS2,4.5261526,4.390821,1.0693733302862784e-06,Other Genes
AARSD1,5.949942,3.7895741,1.9058618046676097e-06,Other Genes
AASDH,3.3841434,3.0402515,6.305329742793729e-07,Other Genes
AASDHPPT,3.4127202,2.0236328,5.051706045917995e-06,Other Genes
AASS,2.4681656,3.422656,5.071244882566298e-07,Other Genes
AATBC,2.6088161,3.4129913,2.308211645782347e-07,Other Genes
AATF,2.830328,2.4406614,1.1045951814402314e-06,Other Genes
AATK,4.9560113,3.3829145,1.0155201684640836e-05,Other Genes
AB124611,4.4160867,4.3511944,3.137592669704456e-05,Other Genes
ABALON,2.6110523,4.554944,2.8056409657256357e-07,Other Genes
ABAT,3.7047644,2.7222607,1.9209842688389845e-06,Other Genes
ABCA1,3.8400583,4.8655233,5.6281376673681204e-05,Other Genes
ABCA10,1.8526032,4.146961,8.744048961509925e-08,Other Genes
ABCA12,2.6244087,5.494505,1.9173813620520445e-09,Other Genes
ABCA13,6.236742,3.180169,2.0954855484060126e-07,Other Genes
ABCA2,2.6116993,4.2160068,3.835064698671093e-07,Other Genes
ABCA3,3.7114854,3.5823972,1.366611721685295e-07,Other Genes
ABCA4,2.3762999,3.4973717,2.330840528992321e-09,Other Genes
ABCA5,2.5709858,2.8609288,1.5185615396190836e-06,Other Genes
ABCA6,3.4680448,6.093459,3.216596948484241e-06,Other Genes
ABCA7,4.4806857,5.104038,1.5595491080937065e-06,Other Genes
ABCA8,5.730157,3.9983573,1.0413824211236603e-08,Other Genes
ABCA9,4.84776,3.7057319,2.2830876806005942e-07,Other Genes
ABCA9-AS1,4.238107,6.363436,6.992521586933123e-09,Other Genes
ABCB1,4.227965,4.3565583,3.969628351654224e-06,Other Genes
ABCB10,3.1914434,4.1476316,7.217550676856268e-07,Other Genes
ABCB11,4.244472,5.4689617,2.4880504136827063e-07,Other Genes
ABCB4,3.5195622,2.8821929,3.653204606353297e-07,Other Genes
ABCB5,4.071175,3.1571007,2.3173009682160812e-07,Other Genes
ABCB6,4.318935,3.7030058,6.73368480679366e-07,Other Genes
ABCB7,3.2007394,3.8993266,1.0878740938691214e-07,Other Genes
ABCB8,5.6888204,5.5714808,1.1565049196421645e-06,Other Genes
ABCB9,4.233916,5.5150733,1.2508445164243244e-07,Other Genes
ABCC1,5.20687,2.7864687,5.01402718439753e-07,Other Genes
ABCC10,3.7503064,3.7378268,3.033886072368954e-07,Other Genes
ABCC11,5.5847855,4.518402,5.4849714322476553e-08,Other Genes
ABCC2,5.99378,3.9070647,7.24107616239041e-08,Other Genes
ABCC3,2.579555,3.8280797,1.8188658247179707e-05,Other Genes
ABCC4,3.5191517,2.7503517,1.5757521933371997e-06,Other Genes
ABCC5,4.7760277,5.4146433,5.264867213544766e-06,Other Genes
ABCC5-AS1,3.9400628,2.6096058,6.579061487351712e-09,Other Genes
ABCC6,5.1115484,3.3080416,2.2669122531869432e-07,Other Genes
ABCC8,4.9169765,2.7525878,2.7443010948358466e-09,Other Genes
ABCC9,3.2821984,3.4603148,2.5902787248465652e-08,Other Genes
ABCD1,2.5041723,2.4525037,1.2643596348308546e-06,Other Genes
ABCD2,3.707815,5.935654,9.177946633141392e-07,Other Genes
ABCD3,2.7016284,5.4945846,5.1701025965160095e-06,Other Genes
ABCD4,3.5074959,3.1167705,8.887096585283795e-07,Other Genes
ABCE1,4.1740136,4.760429,2.4931638517815246e-06,Other Genes
ABCF1,4.72314,2.9243655,7.002764674329603e-06,Other Genes
ABCF2,3.5705717,3.7994206,5.950834740830326e-08,Other Genes
ABCF3,2.864835,2.9664469,1.4541994513621968e-06,Other Genes
ABCG1,6.241892,3.5982237,1.2859599980401445e-06,Other Genes
ABCG2,4.9475517,4.160979,1.2308961380489464e-07,Other Genes
ABCG5,5.0980554,2.0100942,1.8910267060187353e-08,Other Genes
ABCG8,5.1707945,4.2695107,3.740238017310756e-08,Other Genes
ABHD1,4.8480296,1.8511295,1.4925592512259258e-07,Other Genes
ABHD10,4.893512,4.1889615,3.4512531101244777e-06,Other Genes
ABHD11,5.1397862,5.4458113,1.8696912729364629e-06,Other Genes
ABHD12,3.93254,4.5834475,1.618863965399386e-05,Other Genes
ABHD12B,5.3763075,2.0291278,2.1809283850670264e-09,Other Genes
ABHD13,2.6713688,3.6066198,1.400548838857534e-06,Other Genes
ABHD14A,5.5421767,5.3253026,2.2642098914745615e-06,Other Genes
ABHD14B,3.6975486,3.7086487,2.7638169759063527e-06,Other Genes
ABHD15,2.6262324,4.3492403,1.523791204820022e-06,Other Genes
ABHD15-AS1,5.3357306,2.705123,1.0770945825633619e-07,Other Genes
ABHD16A,4.017096,3.27607,4.376434739197081e-06,Other Genes
ABHD16B,5.702096,3.1634135,5.488602189306365e-09,Other Genes
ABHD17A,4.629402,3.5329146,8.181141710850279e-06,Other Genes
ABHD17B,3.5637612,2.1902943,9.321084166650604e-07,Other Genes
ABHD17C,3.827833,3.9530835,2.5406074362789023e-06,Other Genes
ABHD18,2.88546,4.4574294,1.1581466453855953e-06,Other Genes
ABHD2,5.4374743,3.5973215,1.161432155317419e-05,Other Genes
ABHD3,4.653835,2.3254852,8.458286732279543e-06,Other Genes
ABHD4,6.3504806,4.265633,1.585650432271215e-06,Other Genes
ABHD5,2.99928,3.7347884,1.4767103317181462e-06,Other Genes
ABHD6,5.302379,3.8802102,3.1427168755198956e-06,Other Genes
ABHD8,5.8008175,3.7425427,2.5901166586966372e-06,Other Genes
ABI1,2.6340978,2.6636322,1.078980521648944e-05,Other Genes
ABI2,4.3573475,1.9112353,2.651069290435449e-06,Other Genes
ABI3,3.8022072,5.518399,1.8420646065178694e-05,Other Genes
ABI3BP,3.1015227,3.907916,1.1150319417361292e-07,Other Genes
ABITRAM,2.8186445,3.034576,6.107330682727963e-07,Other Genes
ABL1,4.4581704,4.0049014,2.7305956142810118e-06,Other Genes
ABL2,5.6661515,4.007248,1.3389856907884368e-05,Other Genes
ABLIM1,5.487832,3.2430477,4.69863536392238e-06,Other Genes
ABLIM2,5.2921376,2.1573567,8.782236256703932e-08,Other Genes
ABLIM3,5.660697,3.5051992,1.876035817688197e-08,Other Genes
ABO,5.7118983,2.4606993,7.35690903265743e-08,Other Genes
ABR,4.429137,3.1539595,1.0838670387576357e-05,Other Genes
ABRA,4.4780235,2.477817,8.763140456665825e-08,Other Genes
ABRACL,2.8157494,3.8868623,1.8846645018725445e-05,Other Genes
ABRAXAS1,2.9631133,4.851259,2.7667592313302684e-07,Other Genes
ABRAXAS2,4.53485,2.9928713,7.990936724294188e-07,Other Genes
ABT1,4.0109773,4.903277,6.413292603174901e-07,Other Genes
ABTB1,4.699561,5.462357,5.013120975277991e-06,Other Genes
ABTB2,5.1227036,2.7032652,2.7919702331557834e-06,Other Genes
AC000032.1,4.6817646,4.8442144,1.0229344554807859e-07,Other Genes
AC000035.1,4.7686424,5.0857315,2.330840528992321e-09,Other Genes
AC000036.1,5.2042255,5.602228,4.248221424709186e-09,Other Genes
AC000058.1,3.312237,5.6917624,4.661681057970029e-09,Other Genes
AC000065.1,4.554606,4.20987,1.7329041722882728e-08,Other Genes
AC000065.2,2.7992313,3.2737265,3.7670621966950864e-08,Other Genes
AC000068.1,5.7055283,2.7326465,8.699071840353357e-08,Other Genes
AC000068.2,4.7672863,4.9891963,2.63547023847937e-10,Other Genes
AC000068.3,4.9945803,5.5166354,5.19192116912717e-08,Other Genes
AC000072.1,2.8374915,5.3759584,5.075141623755102e-09,Other Genes
AC000085.1,4.8353524,4.7149844,1.0000365976586748e-08,Other Genes
AC000120.1,6.863231,4.067203,4.018767287835971e-08,Other Genes
AC000123.1,3.7271101,5.3166275,2.2631407953263604e-08,Other Genes
AC000124.1,4.595799,4.3887277,6.579061487351712e-09,Other Genes
AC000403.1,3.9525914,2.417074,1.0162121946959027e-07,Other Genes
AC001226.1,4.0194793,5.5242534,8.53005645050825e-08,Other Genes
AC002044.1,2.957675,3.152806,4.0228730764077044e-08,Other Genes
AC002059.1,5.494441,2.8246014,2.1318466520970925e-08,Other Genes
AC002069.2,4.313447,4.007991,5.075141623755102e-09,Other Genes
AC002070.1,5.8053536,5.263878,1.1654202644815474e-08,Other Genes
AC002074.1,3.8774486,3.154488,3.537606896475464e-08,Other Genes
AC002076.1,4.4129868,6.2407837,4.661681057970029e-09,Other Genes
AC002091.1,3.7097852,4.0920553,3.4058385974458195e-08,Other Genes
AC002091.2,3.5392337,4.312934,4.223635315592808e-07,Other Genes
AC002094.2,3.7181427,5.1536045,2.759293377836201e-08,Other Genes
AC002094.4,3.4264214,4.3939476,5.6249594102127186e-08,Other Genes
AC002115.1,3.0875316,1.7641462,4.661681057970029e-09,Other Genes
AC002116.2,5.9860725,3.0241063,8.177039834566909e-08,Other Genes
AC002128.1,5.3631577,3.1105258,5.327322124772961e-08,Other Genes
AC002128.2,5.1270704,3.081453,9.323362115881605e-09,Other Genes
AC002306.1,5.0846806,3.2605822,5.44760645151974e-09,Other Genes
AC002310.1,3.2109575,3.3696756,7.050330240333281e-07,Other Genes
AC002310.2,4.456845,4.131237,5.5604060378870835e-08,Other Genes
AC002347.1,4.3704257,3.8268683,1.0940918716149035e-08,Other Genes
AC002351.1,5.7909856,2.058323,6.579061487351712e-09,Other Genes
AC002375.1,2.036781,3.912595,6.579061487351712e-09,Other Genes
AC002377.1,5.7031193,3.5553658,2.891063256862688e-08,Other Genes
AC002378.1,4.9819636,4.1785007,6.992521586933123e-09,Other Genes
AC002383.1,5.551253,1.8962116,3.571223624958527e-09,Other Genes
AC002398.1,3.5063055,2.993124,2.8383546912143932e-08,Other Genes
AC002398.2,4.2347083,1.5720707,4.661681057970029e-09,Other Genes
AC002401.1,4.07011,2.1380682,1.3985043173734727e-08,Other Genes
AC002401.2,5.3014045,5.139609,2.330840528992321e-09,Other Genes
AC002401.4,4.9486694,2.3802779,1.5039226612569776e-09,Other Genes
AC002407.1,4.9843717,2.5200293,8.232904216169594e-09,Other Genes
AC002429.2,1.8102206,3.8438773,2.097756476040481e-08,Other Genes
AC002451.1,3.194707,4.9852147,4.998998687225036e-07,Other Genes
AC002454.1,4.935522,4.9761014,5.4472662471261225e-08,Other Genes
AC002456.1,3.3830462,2.8174818,4.3703027506017257e-07,Other Genes
