gene,pca_1,pca_2,importance,category
1810024B03Rik,-0.4503525,0.42867804,2.7509885628144216e-06,Other Genes
1810030O07Rik,1.2664484,0.03133706,0.00011200680713985125,Other Genes
1810055G02Rik,0.46255842,1.1229932,0.00014053534428449768,Other Genes
1810062G17Rik,0.8202603,0.6238371,3.1779255868968948e-06,Other Genes
2010106E10Rik,-0.10211542,-0.01062169,4.290103236924916e-09,Other Genes
2010109A12Rik,0.016083134,-1.3457001,1.3533824001810558e-06,Other Genes
2010315B03Rik,-0.5928767,-0.08504505,7.576382268035906e-06,Other Genes
2200002D01Rik,-0.37678954,0.99885064,3.0972578538805406e-06,Other Genes
2200002J24Rik,0.84780544,-1.8164992,1.1767960535383449e-07,Other Genes
2210016L21Rik,0.7692722,-0.75992495,2.307276421812062e-05,Other Genes
2210408I21Rik,-0.7143655,0.0051918686,8.26211905880918e-06,Other Genes
2300009A05Rik,-0.118018016,-0.8118357,8.605390721611618e-06,Other Genes
2310003L06Rik,1.2556415,-1.6220556,3.914487336869519e-08,Other Genes
2310009B15Rik,-1.7339916,-0.4330396,2.5438331280327148e-05,Other Genes
2310011J03Rik,1.0125207,-0.5183638,4.343455001849086e-05,Other Genes
2310022A10Rik,-1.3100532,0.37535825,5.411915716860214e-05,Other Genes
2310022B05Rik,0.6733697,0.78823894,4.3340068791069e-05,Other Genes
2310030G06Rik,2.208337,-1.3369706,1.0610026893243581e-06,Other Genes
2310033P09Rik,0.041094854,0.7908742,3.2552914103977925e-05,Other Genes
2310057J18Rik,1.4796262,0.94184744,2.632337141423182e-08,Other Genes
2310057M21Rik,-1.5883436,-0.032080702,4.4967249223887714e-05,Other Genes
2310061I04Rik,0.027723415,-0.56439793,2.4945778031804204e-05,Other Genes
2410002F23Rik,1.4690577,-2.1890492,7.208809545433204e-05,Other Genes
2410004B18Rik,1.4101365,0.16370979,2.0332840870073117e-05,Other Genes
2510002D24Rik,0.99214303,-1.2246656,2.196943665214428e-05,Other Genes
2510009E07Rik,0.2641052,1.2725695,6.20704204348518e-05,Other Genes
2510039O18Rik,-1.0089455,-0.09515106,4.857297099873872e-05,Other Genes
2610005L07Rik,-0.34774882,-0.8704753,0.00015310959790334016,Other Genes
2610008E11Rik,0.55657965,0.014396793,1.0409553712496594e-05,Other Genes
2610021A01Rik,0.8049098,-0.060774557,2.3939546115073274e-05,Other Genes
2610028H24Rik,0.51231873,-0.16064632,3.672343884733707e-07,Other Genes
2610042L04Rik,0.087877735,1.2223954,7.405982152659743e-09,Other Genes
2610318N02Rik,-0.26814598,0.5616701,3.6698307254189234e-05,Other Genes
2700049A03Rik,0.5406244,1.9465216,4.1827662585712294e-05,Other Genes
2700062C07Rik,-1.2780448,0.74953735,2.4834772402474747e-05,Other Genes
2700097O09Rik,-0.11166011,0.9953205,7.286692981383079e-05,Other Genes
2810021J22Rik,0.122794464,1.4195635,8.369881781174544e-06,Other Genes
2810025M15Rik,1.5853646,0.99247736,6.180096709095208e-05,Other Genes
2810408A11Rik,1.1750463,-0.92725354,4.272962159960087e-07,Other Genes
2810459M11Rik,-2.6975002,-1.2092717,6.617699967478671e-08,Other Genes
2900026A02Rik,1.2906585,-0.23058948,7.874947576415457e-06,Other Genes
3000002C10Rik,-1.5260726,-1.3777162,2.593592455436058e-05,Other Genes
3110009E18Rik,0.12341739,-1.0116318,5.523924501291906e-06,Other Genes
3110040N11Rik,-1.6578865,-1.2446564,2.881600884272812e-05,Other Genes
3110053B16Rik,0.87095165,-0.15242952,1.3574797347909825e-06,Other Genes
3110070M22Rik,-0.25653338,-1.1492994,6.851239295872174e-07,Other Genes
3300002I08Rik,-0.23624106,-1.8931401,1.7206544903652035e-06,Other Genes
3425401B19Rik,-0.23757443,0.30146524,1.525877628457138e-07,Other Genes
3830403N18Rik,-0.77492636,1.5377179,7.487259940587937e-05,Other Genes
3830408C21Rik,-0.06833117,1.3236883,1.4616285923707108e-06,Other Genes
4833420G17Rik,-1.6944441,-0.6291082,9.063286492547012e-05,Other Genes
4833439L19Rik,0.7611807,1.9405221,8.781155890940559e-05,Other Genes
4921504E06Rik,-1.3738624,0.2527721,4.818658452213916e-09,Other Genes
4921509C19Rik,-2.2382436,-1.202283,1.6078115488483825e-08,Other Genes
4921513I03Rik,-1.9243457,0.7057183,1.5143716249139575e-07,Other Genes
4921522P10Rik,-1.1995206,0.2959788,4.6790616908966123e-07,Other Genes
4921524J17Rik,0.83620477,0.5876165,5.527440331593316e-05,Other Genes
4921528I07Rik,1.4069468,1.2128665,9.030496017517596e-08,Other Genes
4921536K21Rik,-1.0849593,0.081684,7.130941666518939e-07,Other Genes
4930402F06Rik,-0.41070873,0.85488486,7.22560745807486e-08,Other Genes
4930426L09Rik,0.18484932,0.16577756,5.257131339988379e-07,Other Genes
4930432E11Rik,-2.3676183,0.44860092,5.237181721501549e-07,Other Genes
4930433I11Rik,1.7360789,-0.50036544,1.4102584549718383e-08,Other Genes
4930438A08Rik,0.4000622,-0.46461383,6.64222008058263e-07,Other Genes
4930444P10Rik,-0.8447523,-0.18527797,1.1407026787353807e-07,Other Genes
4930447C04Rik,0.4728592,0.06202794,1.0310456246675349e-06,Other Genes
4930448K20Rik,-0.19179031,-0.99409485,3.8533832954596456e-08,Other Genes
4930453N24Rik,0.049234346,-0.15711771,0.00014309035930420983,Other Genes
4930503L19Rik,-0.4812755,-0.7765787,2.5178758843774312e-05,Other Genes
4930518I15Rik,-1.0378939,1.197856,1.427645149743473e-05,Other Genes
4930519F09Rik,1.9985049,2.2016463,2.9579170866153324e-07,Other Genes
4930519G04Rik,-2.3642287,-1.3412113,8.835184834266281e-08,Other Genes
4930523C07Rik,1.7429805,0.19969401,8.141690045583877e-06,Other Genes
4930529C04Rik,0.31951386,-0.77331096,3.590578870216728e-07,Other Genes
4930544L04Rik,-0.6003741,-1.9863852,6.750366769277241e-08,Other Genes
4930550C14Rik,-0.48563987,0.33304185,9.815400614599681e-07,Other Genes
4930555F03Rik,0.13455267,-0.039027892,1.7825220122592684e-07,Other Genes
4930556J24Rik,0.46337336,0.006056234,5.493290180684333e-07,Other Genes
4930558K02Rik,-0.5014616,-1.5562396,3.352626696473453e-08,Other Genes
4930562C15Rik,1.2663193,-0.78165865,2.0622088063202715e-06,Other Genes
4930563M21Rik,2.1550434,0.57119954,7.882044840815814e-08,Other Genes
4930564D02Rik,-0.15789632,1.2495078,4.545130916841255e-08,Other Genes
4930568D16Rik,-2.2920113,0.19059782,2.027948037132378e-08,Other Genes
4930579F01Rik,0.6960428,-1.4316409,3.7478904246222244e-07,Other Genes
4930579G24Rik,-1.9285574,-0.039293878,7.004225613538724e-05,Other Genes
4930597O21Rik,1.1253464,0.055255145,2.446001992840691e-08,Other Genes
4931400O07Rik,-0.90379417,1.3692931,5.678011552618076e-09,Other Genes
4931406C07Rik,-0.5915312,-0.6052111,1.599129392674172e-05,Other Genes
4931414P19Rik,0.29040378,1.3703141,3.8551405993052505e-06,Other Genes
4931422A03Rik,0.3937005,1.4175463,1.6736295564755093e-07,Other Genes
4931429L15Rik,-0.033387735,1.4307896,4.991885054161277e-09,Other Genes
4931440P22Rik,0.93708706,0.08480973,1.4850208222624096e-07,Other Genes
4932414N04Rik,0.29486567,-0.24917763,1.4029550347170876e-06,Other Genes
4932416K20Rik,-0.35437727,0.5253169,1.811844755574589e-08,Other Genes
4933402D24Rik,-1.291111,2.1562061,4.298795848543151e-07,Other Genes
4933402N03Rik,0.6414754,0.8581652,1.414952898679047e-08,Other Genes
4933407L21Rik,-1.5463982,0.29276547,3.1535332472638117e-07,Other Genes
4933411K16Rik,-1.1521202,0.9912023,7.177165094760203e-09,Other Genes
4933427D06Rik,0.47681782,0.12514538,8.604345803739434e-08,Other Genes
4933427D14Rik,0.92658347,-0.43364573,1.8020325280961848e-05,Other Genes
4933427G23Rik,1.4359252,1.6949966,1.333501468339946e-06,Other Genes
4933428G20Rik,-1.1774442,0.32906133,1.8959330111426038e-07,Other Genes
4933430I17Rik,1.1854236,-1.4965854,5.737519286366872e-07,Other Genes
4933434E20Rik,-0.9895799,1.0447456,0.0033029336953528275,Other Genes
5031439G07Rik,-0.3761946,-1.6079038,5.903134495237051e-05,Other Genes
5530401A14Rik,1.8784702,0.70683247,1.8120446813119893e-07,Other Genes
5730409E04Rik,-0.40881392,-0.28707436,6.885926699094987e-06,Other Genes
5730416F02Rik,-1.1077573,-0.082245134,2.0786504503720015e-07,Other Genes
5730455P16Rik,-0.6276685,1.1981939,5.0718645668052306e-05,Other Genes
5730507C01Rik,1.9177964,-0.4078848,3.5936222668241917e-07,Other Genes
5730522E02Rik,1.2298132,0.44335562,1.5263574622765275e-08,Other Genes
5830417I10Rik,-1.1413761,1.7875941,1.408773839488569e-05,Other Genes
6030445D17Rik,-1.9132999,1.2987547,1.352901863845664e-07,Other Genes
6030458C11Rik,-0.71876204,-0.91300416,5.422883588193303e-05,Other Genes
6030468B19Rik,-0.67573035,0.742357,3.848021832274473e-07,Other Genes
6030498E09Rik,-0.53124243,0.14888063,3.0450860927735984e-08,Other Genes
6330549D23Rik,-0.040529862,-1.6852264,2.495876247660224e-06,Other Genes
6430548M08Rik,0.10180152,-0.16903457,1.804616203614519e-05,Other Genes
6430550D23Rik,-0.13625629,-1.4763429,2.737054873183649e-06,Other Genes
6430571L13Rik,0.48417372,-0.15296371,2.3064834311281212e-08,Other Genes
6820431F20Rik,0.5483924,-0.1260686,5.9184470381552686e-05,Other Genes
9030624G23Rik,-0.53780085,-1.1768751,1.1082023080281429e-07,Other Genes
9130008F23Rik,0.20020802,-1.1313565,7.399162861131347e-06,Other Genes
9130230L23Rik,2.4053335,0.46360326,1.8195682769135532e-05,Other Genes
9230109A22Rik,0.025857253,0.33368474,3.8308866333577275e-07,Other Genes
9230112D13Rik,-0.3328555,-1.5803691,5.749044137050948e-07,Other Genes
9330159F19Rik,-1.2819333,-1.5053123,1.5542697985566912e-07,Other Genes
9430015G10Rik,-0.8802563,0.118065365,2.588483914433645e-05,Other Genes
9430038I01Rik,0.23059188,-0.63264716,4.946338982705507e-05,Other Genes
9430041J12Rik,-1.3016973,1.3882389,4.471637662676912e-08,Other Genes
9530068E07Rik,0.032333598,-0.014974051,0.0002544402631900193,Other Genes
9830107B12Rik,-1.8682309,0.64802676,3.4416548087871e-08,Other Genes
9930012K11Rik,0.66263884,-0.9822242,1.430877445833122e-05,Other Genes
9930022D16Rik,0.13044702,-2.4240754,4.3530711915369395e-07,Other Genes
9930111J21Rik1,-1.629802,-0.8243511,9.96006768909052e-07,Other Genes
9930111J21Rik2,2.5720322,0.053965516,1.403203168301559e-05,Other Genes
A130010J15Rik,-0.34877133,0.4206297,2.499354883469857e-05,Other Genes
A1BG,1.2674342,0.10295082,1.2543710810303297e-05,Other Genes
A1BG-AS1,0.15808189,0.081392385,1.2838405194568131e-06,Other Genes
A1CF,-1.1278801,-1.441221,1.755626586479539e-08,Other Genes
A1bg,0.34330505,1.0653069,2.8411815132778616e-08,Other Genes
A230052G05Rik,-0.2239752,-1.1855611,5.990391285498332e-08,Other Genes
A230083G16Rik,0.2523321,-2.1761286,1.2040339982510394e-07,Other Genes
A2M,0.6716993,1.6519077,3.4998570191141655e-07,Other Genes
A2M-AS1,0.17152344,-1.8198962,3.868868362941308e-07,Other Genes
A2ML1,2.575732,0.1055885,9.586906808945039e-09,Other Genes
A2ML1-AS1,1.2362207,0.6712934,2.330840528992321e-09,Other Genes
A2ML1-AS2,-1.9408724,0.8232964,2.330840528992321e-09,Other Genes
A3GALT2,-0.32993788,-1.172854,2.330840528992321e-09,Other Genes
A430005L14Rik,0.955808,-0.7435315,6.471331592547357e-05,Other Genes
A430033K04Rik,-1.8074765,1.4133639,1.0412599210930179e-05,Other Genes
A4GALT,1.189639,-1.2212269,1.4930465369647212e-06,Other Genes
A4GNT,-1.0539982,-0.112634294,1.9173813620520445e-09,Other Genes
A4galt,-0.028910393,-0.39750987,4.846903765643573e-06,Other Genes
A530016L24Rik,-1.090735,0.9231268,4.720586234236351e-08,Other Genes
A530040E14Rik,0.17703374,0.37150466,2.002347582819318e-06,Other Genes
A530053G22Rik,-1.5408564,-0.22472501,3.6986382462534716e-08,Other Genes
A530064D06Rik,-1.8314724,0.7474857,2.715849907109337e-07,Other Genes
A630001G21Rik,0.016551686,-0.075703315,4.703058714389354e-05,Other Genes
A630010A05Rik,1.0219405,0.53203136,1.50283347137723e-07,Other Genes
A730049H05Rik,-0.0034562813,1.1622077,7.448855527736632e-07,Other Genes
A830005F24Rik,1.5787047,1.5185883,1.3668792466488508e-06,Other Genes
A830018L16Rik,1.3876436,0.63757366,3.871243648894013e-06,Other Genes
A930004D18Rik,0.32182336,0.21476468,4.6143643622236645e-06,Other Genes
A930016O22Rik,-0.3634757,-0.18666986,1.7678016454901053e-07,Other Genes
A930033H14Rik,1.1541264,-0.292881,6.582326543721876e-07,Other Genes
AA467197,-0.2516095,0.5639634,1.0629963986746367e-05,Other Genes
AA474408,-0.084259555,-2.7297015,6.000079712913064e-06,Other Genes
AA986860,0.18886946,-0.5441288,9.95955341812032e-07,Other Genes
AAAS,-0.87698543,0.37080288,1.088905747956934e-06,Other Genes
AACS,1.439966,2.3754692,3.540167366156715e-07,Other Genes
AADAT,-1.018726,0.39614198,1.5039231276359976e-09,Other Genes
AAGAB,0.46031097,0.29146832,1.8004598257646361e-06,Other Genes
AAK1,-1.4958484,-0.3882637,4.24754717451438e-05,Other Genes
AAMDC,0.7401465,0.5572295,2.113791105614543e-06,Other Genes
AAMP,-2.6897328,-1.1073372,4.069532548752856e-06,Other Genes
AANAT,0.058119893,1.3564037,6.770052589654135e-10,Other Genes
AAR2,-0.03472141,0.38949904,8.576680605198425e-08,Other Genes
AARD,-0.079338774,-0.16324034,3.156087814513062e-07,Other Genes
AARS,-0.46570003,0.04655064,5.972656664980166e-07,Other Genes
AARS2,0.06819807,0.2987844,1.0693733302862784e-06,Other Genes
AARSD1,0.4478079,2.4416754,1.9058618046676097e-06,Other Genes
AASDH,0.8971885,0.1348755,6.305329742793729e-07,Other Genes
AASDHPPT,0.21681799,0.8714398,5.051706045917995e-06,Other Genes
AASS,-0.04051386,-1.4741465,5.071244882566298e-07,Other Genes
AATBC,0.87241095,-1.2565877,2.308211645782347e-07,Other Genes
AATF,-0.94219726,0.6236021,1.1045951814402314e-06,Other Genes
AATK,-0.57887083,-1.5614966,1.0155201684640836e-05,Other Genes
AB124611,0.360408,1.2814107,3.137592669704456e-05,Other Genes
ABALON,-0.09614421,0.73335755,2.8056409657256357e-07,Other Genes
ABAT,1.3107995,0.5342748,1.9209842688389845e-06,Other Genes
ABCA1,-1.8412176,-0.06919507,5.6281376673681204e-05,Other Genes
ABCA10,-0.1826484,1.2409272,8.744048961509925e-08,Other Genes
ABCA12,1.0834987,-0.6119977,1.9173813620520445e-09,Other Genes
ABCA13,0.07579853,0.4824192,2.0954855484060126e-07,Other Genes
ABCA2,2.2212732,-1.3481722,3.835064698671093e-07,Other Genes
ABCA3,2.3135366,1.232728,1.366611721685295e-07,Other Genes
ABCA4,-1.3037552,-0.9953501,2.330840528992321e-09,Other Genes
ABCA5,-1.4585086,-1.3220568,1.5185615396190836e-06,Other Genes
ABCA6,1.652952,0.7355078,3.216596948484241e-06,Other Genes
ABCA7,-0.45298833,2.458219,1.5595491080937065e-06,Other Genes
ABCA8,-1.2420626,-0.54006195,1.0413824211236603e-08,Other Genes
ABCA9,0.10183231,0.37780944,2.2830876806005942e-07,Other Genes
ABCA9-AS1,0.58798885,-0.090758614,6.992521586933123e-09,Other Genes
ABCB1,0.12486042,-2.3397074,3.969628351654224e-06,Other Genes
ABCB10,0.29958695,-2.4359798,7.217550676856268e-07,Other Genes
ABCB11,-0.6968441,-0.80417216,2.4880504136827063e-07,Other Genes
ABCB4,-2.060413,1.1007088,3.653204606353297e-07,Other Genes
ABCB5,-2.3386917,-0.060304813,2.3173009682160812e-07,Other Genes
ABCB6,-0.61657554,-1.1079687,6.73368480679366e-07,Other Genes
ABCB7,-0.33524078,0.7967402,1.0878740938691214e-07,Other Genes
ABCB8,1.2616131,1.0675801,1.1565049196421645e-06,Other Genes
ABCB9,-0.0659614,0.7520888,1.2508445164243244e-07,Other Genes
ABCC1,-0.45130008,2.8429177,5.01402718439753e-07,Other Genes
ABCC10,-0.46239853,1.7979543,3.033886072368954e-07,Other Genes
ABCC11,1.9211919,-2.1346452,5.4849714322476553e-08,Other Genes
ABCC2,0.5100205,-0.8264364,7.24107616239041e-08,Other Genes
ABCC3,-0.18780307,-0.35760623,1.8188658247179707e-05,Other Genes
ABCC4,-0.7170822,1.1682799,1.5757521933371997e-06,Other Genes
ABCC5,0.62884545,1.1717914,5.264867213544766e-06,Other Genes
ABCC5-AS1,-0.38115293,-1.0862314,6.579061487351712e-09,Other Genes
ABCC6,1.2194464,-0.28565556,2.2669122531869432e-07,Other Genes
ABCC8,-0.795738,1.3052275,2.7443010948358466e-09,Other Genes
ABCC9,-0.25044492,0.213804,2.5902787248465652e-08,Other Genes
ABCD1,0.6063744,0.2262311,1.2643596348308546e-06,Other Genes
ABCD2,-0.64452904,0.53961974,9.177946633141392e-07,Other Genes
ABCD3,-0.3405674,-1.5813915,5.1701025965160095e-06,Other Genes
ABCD4,-1.6710763,-0.021505529,8.887096585283795e-07,Other Genes
ABCE1,1.2396398,-2.239473,2.4931638517815246e-06,Other Genes
ABCF1,-0.6726159,-1.370909,7.002764674329603e-06,Other Genes
ABCF2,-0.16616271,1.8489969,5.950834740830326e-08,Other Genes
ABCF3,1.7047901,0.9192041,1.4541994513621968e-06,Other Genes
ABCG1,-0.59292877,-0.6009639,1.2859599980401445e-06,Other Genes
ABCG2,-0.8571305,0.21677206,1.2308961380489464e-07,Other Genes
ABCG5,-0.4887783,1.3719006,1.8910267060187353e-08,Other Genes
ABCG8,-1.6209354,-1.6831665,3.740238017310756e-08,Other Genes
ABHD1,0.26553616,-0.59620005,1.4925592512259258e-07,Other Genes
ABHD10,-1.3324373,1.4597242,3.4512531101244777e-06,Other Genes
ABHD11,-0.45098335,-0.6284905,1.8696912729364629e-06,Other Genes
ABHD12,-0.18614416,-1.112402,1.618863965399386e-05,Other Genes
ABHD12B,-0.057767443,-0.17452973,2.1809283850670264e-09,Other Genes
ABHD13,0.556221,1.402733,1.400548838857534e-06,Other Genes
ABHD14A,-1.0073099,-0.98795384,2.2642098914745615e-06,Other Genes
ABHD14B,2.3946018,-0.276644,2.7638169759063527e-06,Other Genes
ABHD15,1.3903842,1.7358284,1.523791204820022e-06,Other Genes
ABHD15-AS1,1.8226118,0.35268402,1.0770945825633619e-07,Other Genes
ABHD16A,0.79620475,-1.3202566,4.376434739197081e-06,Other Genes
ABHD16B,-0.17327462,-0.8005359,5.488602189306365e-09,Other Genes
ABHD17A,-1.0508235,0.21242356,8.181141710850279e-06,Other Genes
ABHD17B,0.046593085,0.02911037,9.321084166650604e-07,Other Genes
ABHD17C,-1.131793,0.03629891,2.5406074362789023e-06,Other Genes
ABHD18,-0.14867182,1.0217004,1.1581466453855953e-06,Other Genes
ABHD2,1.0575436,2.8029158,1.161432155317419e-05,Other Genes
ABHD3,-0.95261866,1.9373413,8.458286732279543e-06,Other Genes
ABHD4,0.11224188,1.2209308,1.585650432271215e-06,Other Genes
ABHD5,0.11674978,0.17919782,1.4767103317181462e-06,Other Genes
ABHD6,-0.015512275,1.2538439,3.1427168755198956e-06,Other Genes
ABHD8,-0.42584795,0.6627977,2.5901166586966372e-06,Other Genes
ABI1,-0.5161037,-3.144486,1.078980521648944e-05,Other Genes
ABI2,0.84858286,-0.9326663,2.651069290435449e-06,Other Genes
ABI3,-0.17787008,-1.091192,1.8420646065178694e-05,Other Genes
ABI3BP,-0.27375907,0.048045583,1.1150319417361292e-07,Other Genes
ABITRAM,-1.2242098,-0.49707836,6.107330682727963e-07,Other Genes
ABL1,0.42462593,1.257546,2.7305956142810118e-06,Other Genes
ABL2,0.6187866,-2.0001097,1.3389856907884368e-05,Other Genes
ABLIM1,1.3492844,-1.8943443,4.69863536392238e-06,Other Genes
ABLIM2,-1.5920324,-0.21365857,8.782236256703932e-08,Other Genes
ABLIM3,0.6130043,0.012361056,1.876035817688197e-08,Other Genes
ABO,0.1339154,-0.9580047,7.35690903265743e-08,Other Genes
ABR,1.1389786,-1.1404179,1.0838670387576357e-05,Other Genes
ABRA,-0.083819136,0.44658068,8.763140456665825e-08,Other Genes
ABRACL,-0.32026577,0.040703364,1.8846645018725445e-05,Other Genes
ABRAXAS1,1.3013029,1.5835725,2.7667592313302684e-07,Other Genes
ABRAXAS2,0.54693854,0.7697733,7.990936724294188e-07,Other Genes
ABT1,-0.3856545,0.31350648,6.413292603174901e-07,Other Genes
ABTB1,-1.6979642,-0.17389488,5.013120975277991e-06,Other Genes
ABTB2,-2.0239787,-0.69693476,2.7919702331557834e-06,Other Genes
AC000032.1,-1.1605195,-1.4829508,1.0229344554807859e-07,Other Genes
AC000035.1,-0.076892376,-0.2856388,2.330840528992321e-09,Other Genes
AC000036.1,-0.7849802,-0.16941564,4.248221424709186e-09,Other Genes
AC000058.1,2.317603,-1.5049174,4.661681057970029e-09,Other Genes
AC000065.1,0.026162518,-1.5032173,1.7329041722882728e-08,Other Genes
AC000065.2,-0.1054136,-0.6759474,3.7670621966950864e-08,Other Genes
AC000068.1,0.35903352,-0.822959,8.699071840353357e-08,Other Genes
AC000068.2,-0.24453674,2.2301457,2.63547023847937e-10,Other Genes
AC000068.3,-0.48281288,-0.12524217,5.19192116912717e-08,Other Genes
AC000072.1,-0.5445877,2.1971908,5.075141623755102e-09,Other Genes
AC000085.1,-0.4059323,1.3367028,1.0000365976586748e-08,Other Genes
AC000120.1,-2.0234365,-0.94338214,4.018767287835971e-08,Other Genes
AC000123.1,-2.1962855,-0.17920575,2.2631407953263604e-08,Other Genes
AC000124.1,0.6468965,-1.3933051,6.579061487351712e-09,Other Genes
AC000403.1,1.5374341,0.6688678,1.0162121946959027e-07,Other Genes
AC001226.1,2.4310136,-0.81626874,8.53005645050825e-08,Other Genes
AC002044.1,2.5003521,0.1694048,4.0228730764077044e-08,Other Genes
AC002059.1,-1.6142311,-0.22927344,2.1318466520970925e-08,Other Genes
AC002069.2,1.0745118,0.90211564,5.075141623755102e-09,Other Genes
AC002070.1,0.23160578,-1.6234059,1.1654202644815474e-08,Other Genes
AC002074.1,-2.2814736,1.645364,3.537606896475464e-08,Other Genes
AC002076.1,-0.7888208,-0.33202532,4.661681057970029e-09,Other Genes
AC002091.1,-1.2604192,0.079151444,3.4058385974458195e-08,Other Genes
AC002091.2,-1.2451475,0.12252451,4.223635315592808e-07,Other Genes
AC002094.2,0.23890808,-0.34851438,2.759293377836201e-08,Other Genes
AC002094.4,-0.17985922,0.7885417,5.6249594102127186e-08,Other Genes
AC002115.1,2.0132723,0.22740287,4.661681057970029e-09,Other Genes
AC002116.2,-1.0035331,1.0530151,8.177039834566909e-08,Other Genes
AC002128.1,1.087124,0.25203085,5.327322124772961e-08,Other Genes
AC002128.2,-1.0616629,-0.7121346,9.323362115881605e-09,Other Genes
AC002306.1,-1.1013328,0.8636715,5.44760645151974e-09,Other Genes
AC002310.1,0.94750977,0.6047424,7.050330240333281e-07,Other Genes
AC002310.2,0.37727344,0.34240836,5.5604060378870835e-08,Other Genes
