gene,tsne_1,tsne_2,importance,category
1810024B03Rik,5.218535,28.420694,2.7509885628144216e-06,Other Genes
1810030O07Rik,-18.41529,-1.213518,0.00011200680713985125,Other Genes
1810055G02Rik,7.563346,-2.998136,0.00014053534428449768,Other Genes
1810062G17Rik,13.651465,5.499311,3.1779255868968948e-06,Other Genes
2010106E10Rik,20.155954,8.882156,4.290103236924916e-09,Other Genes
2010109A12Rik,25.342968,37.53835,1.3533824001810558e-06,Other Genes
2010315B03Rik,-40.173782,-19.435694,7.576382268035906e-06,Other Genes
2200002D01Rik,14.503181,11.517566,3.0972578538805406e-06,Other Genes
2200002J24Rik,17.765877,29.635132,1.1767960535383449e-07,Other Genes
2210016L21Rik,-31.914614,-33.434822,2.307276421812062e-05,Other Genes
2210408I21Rik,7.591053,-5.3416314,8.26211905880918e-06,Other Genes
2300009A05Rik,4.444773,10.069655,8.605390721611618e-06,Other Genes
2310003L06Rik,-13.618287,11.532409,3.914487336869519e-08,Other Genes
2310009B15Rik,21.31422,-18.717283,2.5438331280327148e-05,Other Genes
2310011J03Rik,-31.55561,19.719255,4.343455001849086e-05,Other Genes
2310022A10Rik,10.814171,-13.660368,5.411915716860214e-05,Other Genes
2310022B05Rik,-1.1980771,-49.625626,4.3340068791069e-05,Other Genes
2310030G06Rik,-0.557647,-20.602036,1.0610026893243581e-06,Other Genes
2310033P09Rik,1.7701063,34.83585,3.2552914103977925e-05,Other Genes
2310057J18Rik,8.188484,6.3713164,2.632337141423182e-08,Other Genes
2310057M21Rik,29.308685,-21.814186,4.4967249223887714e-05,Other Genes
2310061I04Rik,3.6390986,21.94033,2.4945778031804204e-05,Other Genes
2410002F23Rik,-35.137222,-7.770992,7.208809545433204e-05,Other Genes
2410004B18Rik,-8.652947,-12.034925,2.0332840870073117e-05,Other Genes
2510002D24Rik,44.249783,-18.121359,2.196943665214428e-05,Other Genes
2510009E07Rik,-3.393312,25.929943,6.20704204348518e-05,Other Genes
2510039O18Rik,9.207451,10.918367,4.857297099873872e-05,Other Genes
2610005L07Rik,31.077965,-14.061886,0.00015310959790334016,Other Genes
2610008E11Rik,-12.118325,4.2602205,1.0409553712496594e-05,Other Genes
2610021A01Rik,-27.367828,-9.373916,2.3939546115073274e-05,Other Genes
2610028H24Rik,33.23216,-20.149681,3.672343884733707e-07,Other Genes
2610042L04Rik,1.6324371,9.5121565,7.405982152659743e-09,Other Genes
2610318N02Rik,0.031023858,-10.052492,3.6698307254189234e-05,Other Genes
2700049A03Rik,-13.331396,-36.248894,4.1827662585712294e-05,Other Genes
2700062C07Rik,0.29289356,-24.185793,2.4834772402474747e-05,Other Genes
2700097O09Rik,-13.233312,-49.23393,7.286692981383079e-05,Other Genes
2810021J22Rik,-14.070346,-43.10917,8.369881781174544e-06,Other Genes
2810025M15Rik,5.7934294,23.404392,6.180096709095208e-05,Other Genes
2810408A11Rik,-7.058677,1.6489398,4.272962159960087e-07,Other Genes
2810459M11Rik,-7.78246,24.097069,6.617699967478671e-08,Other Genes
2900026A02Rik,16.983025,-0.28398058,7.874947576415457e-06,Other Genes
3000002C10Rik,34.019436,36.228947,2.593592455436058e-05,Other Genes
3110009E18Rik,-23.869026,8.091706,5.523924501291906e-06,Other Genes
3110040N11Rik,-6.8886757,-27.106356,2.881600884272812e-05,Other Genes
3110053B16Rik,26.223583,-20.620453,1.3574797347909825e-06,Other Genes
3110070M22Rik,2.5053787,20.394648,6.851239295872174e-07,Other Genes
3300002I08Rik,20.74999,-8.001559,1.7206544903652035e-06,Other Genes
3425401B19Rik,15.437849,25.006508,1.525877628457138e-07,Other Genes
3830403N18Rik,-7.209739,14.127838,7.487259940587937e-05,Other Genes
3830408C21Rik,14.540685,45.09229,1.4616285923707108e-06,Other Genes
4833420G17Rik,8.969535,-13.206287,9.063286492547012e-05,Other Genes
4833439L19Rik,16.88359,8.066569,8.781155890940559e-05,Other Genes
4921504E06Rik,13.461446,13.188312,4.818658452213916e-09,Other Genes
4921509C19Rik,16.728333,7.479434,1.6078115488483825e-08,Other Genes
4921513I03Rik,28.158934,-40.387486,1.5143716249139575e-07,Other Genes
4921522P10Rik,-2.3684673,3.6714954,4.6790616908966123e-07,Other Genes
4921524J17Rik,31.492178,18.775637,5.527440331593316e-05,Other Genes
4921528I07Rik,18.586298,1.3239307,9.030496017517596e-08,Other Genes
4921536K21Rik,6.2969866,26.821241,7.130941666518939e-07,Other Genes
4930402F06Rik,-18.197323,5.7327704,7.22560745807486e-08,Other Genes
4930426L09Rik,-15.388004,-11.268241,5.257131339988379e-07,Other Genes
4930432E11Rik,-17.042065,4.687186,5.237181721501549e-07,Other Genes
4930433I11Rik,-8.04028,-18.584682,1.4102584549718383e-08,Other Genes
4930438A08Rik,-13.397296,-5.009675,6.64222008058263e-07,Other Genes
4930444P10Rik,-34.548523,-28.933178,1.1407026787353807e-07,Other Genes
4930447C04Rik,-40.815216,4.3648252,1.0310456246675349e-06,Other Genes
4930448K20Rik,17.856916,6.879165,3.8533832954596456e-08,Other Genes
4930453N24Rik,28.431149,-9.653275,0.00014309035930420983,Other Genes
4930503L19Rik,44.206253,-15.99324,2.5178758843774312e-05,Other Genes
4930518I15Rik,-43.635952,23.768942,1.427645149743473e-05,Other Genes
4930519F09Rik,-13.4856825,-26.612259,2.9579170866153324e-07,Other Genes
4930519G04Rik,10.690925,-29.9869,8.835184834266281e-08,Other Genes
4930523C07Rik,13.545577,16.10897,8.141690045583877e-06,Other Genes
4930529C04Rik,-30.02744,-10.27488,3.590578870216728e-07,Other Genes
4930544L04Rik,-25.933054,-23.806122,6.750366769277241e-08,Other Genes
4930550C14Rik,1.3214161,-36.192005,9.815400614599681e-07,Other Genes
4930555F03Rik,-21.793163,4.322105,1.7825220122592684e-07,Other Genes
4930556J24Rik,-27.919247,-15.1133375,5.493290180684333e-07,Other Genes
4930558K02Rik,-17.749414,-12.543833,3.352626696473453e-08,Other Genes
4930562C15Rik,22.990002,11.817975,2.0622088063202715e-06,Other Genes
4930563M21Rik,-1.8910302,3.7734897,7.882044840815814e-08,Other Genes
4930564D02Rik,-1.664766,15.089528,4.545130916841255e-08,Other Genes
4930568D16Rik,32.895576,-24.27853,2.027948037132378e-08,Other Genes
4930579F01Rik,3.1747394,-1.345239,3.7478904246222244e-07,Other Genes
4930579G24Rik,-11.741342,19.887587,7.004225613538724e-05,Other Genes
4930597O21Rik,15.212642,25.043442,2.446001992840691e-08,Other Genes
4931400O07Rik,-14.001192,-33.387314,5.678011552618076e-09,Other Genes
4931406C07Rik,-16.534952,-12.089641,1.599129392674172e-05,Other Genes
4931414P19Rik,6.287727,17.77043,3.8551405993052505e-06,Other Genes
4931422A03Rik,-31.972458,7.714981,1.6736295564755093e-07,Other Genes
4931429L15Rik,16.991707,-3.9512851,4.991885054161277e-09,Other Genes
4931440P22Rik,-3.037892,35.677746,1.4850208222624096e-07,Other Genes
4932414N04Rik,33.93749,17.796427,1.4029550347170876e-06,Other Genes
4932416K20Rik,33.086906,-28.929531,1.811844755574589e-08,Other Genes
4933402D24Rik,24.33675,30.058678,4.298795848543151e-07,Other Genes
4933402N03Rik,29.596825,-7.971116,1.414952898679047e-08,Other Genes
4933407L21Rik,-23.950218,-2.6638684,3.1535332472638117e-07,Other Genes
4933411K16Rik,48.233788,-16.203253,7.177165094760203e-09,Other Genes
4933427D06Rik,-15.272892,-21.111681,8.604345803739434e-08,Other Genes
4933427D14Rik,-30.254026,15.1860285,1.8020325280961848e-05,Other Genes
4933427G23Rik,-24.635876,-3.565221,1.333501468339946e-06,Other Genes
4933428G20Rik,13.112961,21.515238,1.8959330111426038e-07,Other Genes
4933430I17Rik,-24.829947,5.79623,5.737519286366872e-07,Other Genes
4933434E20Rik,-9.573132,-35.183727,0.0033029336953528275,Other Genes
5031439G07Rik,-3.8276007,12.091319,5.903134495237051e-05,Other Genes
5530401A14Rik,-19.790352,22.085913,1.8120446813119893e-07,Other Genes
5730409E04Rik,15.372306,0.9054925,6.885926699094987e-06,Other Genes
5730416F02Rik,15.294632,24.120726,2.0786504503720015e-07,Other Genes
5730455P16Rik,1.0901699,-8.029662,5.0718645668052306e-05,Other Genes
5730507C01Rik,1.631745,-2.0182323,3.5936222668241917e-07,Other Genes
5730522E02Rik,-1.77087,10.829219,1.5263574622765275e-08,Other Genes
5830417I10Rik,-17.40023,-2.552331,1.408773839488569e-05,Other Genes
6030445D17Rik,-15.240522,-14.208802,1.352901863845664e-07,Other Genes
6030458C11Rik,27.890963,-29.159582,5.422883588193303e-05,Other Genes
6030468B19Rik,-31.660393,8.890225,3.848021832274473e-07,Other Genes
6030498E09Rik,23.107023,-7.314201,3.0450860927735984e-08,Other Genes
6330549D23Rik,-8.734446,19.19426,2.495876247660224e-06,Other Genes
6430548M08Rik,-29.106133,18.40152,1.804616203614519e-05,Other Genes
6430550D23Rik,-5.881232,25.418846,2.737054873183649e-06,Other Genes
6430571L13Rik,-5.0881143,32.155506,2.3064834311281212e-08,Other Genes
6820431F20Rik,15.717372,-12.568211,5.9184470381552686e-05,Other Genes
9030624G23Rik,26.938902,-12.556684,1.1082023080281429e-07,Other Genes
9130008F23Rik,-23.772722,-13.90716,7.399162861131347e-06,Other Genes
9130230L23Rik,9.345359,-11.272672,1.8195682769135532e-05,Other Genes
9230109A22Rik,-39.170967,11.921075,3.8308866333577275e-07,Other Genes
9230112D13Rik,-8.56622,-9.542078,5.749044137050948e-07,Other Genes
9330159F19Rik,18.046446,28.136543,1.5542697985566912e-07,Other Genes
9430015G10Rik,14.171027,8.8277,2.588483914433645e-05,Other Genes
9430038I01Rik,21.33089,1.610475,4.946338982705507e-05,Other Genes
9430041J12Rik,-11.086864,-37.100166,4.471637662676912e-08,Other Genes
9530068E07Rik,24.294075,-18.928968,0.0002544402631900193,Other Genes
9830107B12Rik,41.515633,12.948227,3.4416548087871e-08,Other Genes
9930012K11Rik,8.870902,16.07812,1.430877445833122e-05,Other Genes
9930022D16Rik,-16.273434,8.047835,4.3530711915369395e-07,Other Genes
9930111J21Rik1,26.901892,36.35508,9.96006768909052e-07,Other Genes
9930111J21Rik2,-22.307098,-31.702873,1.403203168301559e-05,Other Genes
A130010J15Rik,-12.595567,-31.853096,2.499354883469857e-05,Other Genes
A1BG,-8.045758,13.141988,1.2543710810303297e-05,Other Genes
A1BG-AS1,30.124825,-7.5195475,1.2838405194568131e-06,Other Genes
A1CF,-11.3870325,-5.5641966,1.755626586479539e-08,Other Genes
A1bg,-3.0467243,-29.77551,2.8411815132778616e-08,Other Genes
A230052G05Rik,15.61721,-0.74827933,5.990391285498332e-08,Other Genes
A230083G16Rik,-0.2381674,12.058192,1.2040339982510394e-07,Other Genes
A2M,-35.149464,4.9202895,3.4998570191141655e-07,Other Genes
A2M-AS1,-11.2212,13.940233,3.868868362941308e-07,Other Genes
A2ML1,12.517294,25.752893,9.586906808945039e-09,Other Genes
A2ML1-AS1,23.55337,-0.69287467,2.330840528992321e-09,Other Genes
A2ML1-AS2,-2.119539,-9.6686945,2.330840528992321e-09,Other Genes
A3GALT2,-14.99742,-7.926383,2.330840528992321e-09,Other Genes
A430005L14Rik,18.474941,5.5563574,6.471331592547357e-05,Other Genes
A430033K04Rik,18.163141,36.492672,1.0412599210930179e-05,Other Genes
A4GALT,3.0368466,-15.834218,1.4930465369647212e-06,Other Genes
A4GNT,-36.59664,-12.303033,1.9173813620520445e-09,Other Genes
A4galt,1.4052117,36.738842,4.846903765643573e-06,Other Genes
A530016L24Rik,13.635098,7.4042554,4.720586234236351e-08,Other Genes
A530040E14Rik,13.68222,25.865896,2.002347582819318e-06,Other Genes
A530053G22Rik,-10.032713,-11.927608,3.6986382462534716e-08,Other Genes
A530064D06Rik,15.514912,14.179318,2.715849907109337e-07,Other Genes
A630001G21Rik,-20.041386,32.639053,4.703058714389354e-05,Other Genes
A630010A05Rik,-11.036812,9.529185,1.50283347137723e-07,Other Genes
A730049H05Rik,-15.6600485,22.719542,7.448855527736632e-07,Other Genes
A830005F24Rik,17.461798,18.29475,1.3668792466488508e-06,Other Genes
A830018L16Rik,34.73649,-24.570055,3.871243648894013e-06,Other Genes
A930004D18Rik,3.726529,13.688632,4.6143643622236645e-06,Other Genes
A930016O22Rik,-20.8744,-17.830175,1.7678016454901053e-07,Other Genes
A930033H14Rik,-10.513366,31.666464,6.582326543721876e-07,Other Genes
AA467197,15.3775,-17.1237,1.0629963986746367e-05,Other Genes
AA474408,-7.6842875,-2.212573,6.000079712913064e-06,Other Genes
AA986860,-19.615559,7.780847,9.95955341812032e-07,Other Genes
AAAS,-14.0989685,-11.967432,1.088905747956934e-06,Other Genes
AACS,23.570684,14.3279,3.540167366156715e-07,Other Genes
AADAT,-0.8147479,5.2651505,1.5039231276359976e-09,Other Genes
AAGAB,8.015123,28.88339,1.8004598257646361e-06,Other Genes
AAK1,-33.583508,14.144236,4.24754717451438e-05,Other Genes
AAMDC,15.2881155,2.0618682,2.113791105614543e-06,Other Genes
AAMP,-38.35518,1.9714557,4.069532548752856e-06,Other Genes
AANAT,8.340425,-4.1095614,6.770052589654135e-10,Other Genes
AAR2,27.092236,-35.72391,8.576680605198425e-08,Other Genes
AARD,-9.397627,-8.378694,3.156087814513062e-07,Other Genes
AARS,1.103603,5.934999,5.972656664980166e-07,Other Genes
AARS2,-28.772291,30.761972,1.0693733302862784e-06,Other Genes
AARSD1,9.243341,-10.40838,1.9058618046676097e-06,Other Genes
AASDH,2.5424435,9.256803,6.305329742793729e-07,Other Genes
AASDHPPT,7.954405,-26.784935,5.051706045917995e-06,Other Genes
AASS,-1.6985804,5.7066503,5.071244882566298e-07,Other Genes
AATBC,0.59169054,-42.64936,2.308211645782347e-07,Other Genes
AATF,-8.947111,8.8041725,1.1045951814402314e-06,Other Genes
AATK,17.738068,-16.767426,1.0155201684640836e-05,Other Genes
AB124611,42.193066,-7.354109,3.137592669704456e-05,Other Genes
ABALON,4.874516,-27.987125,2.8056409657256357e-07,Other Genes
ABAT,20.07745,0.5522974,1.9209842688389845e-06,Other Genes
ABCA1,-38.47301,-14.242589,5.6281376673681204e-05,Other Genes
ABCA10,-44.25349,-21.746897,8.744048961509925e-08,Other Genes
ABCA12,1.6478901,33.01176,1.9173813620520445e-09,Other Genes
ABCA13,6.3766026,47.705505,2.0954855484060126e-07,Other Genes
ABCA2,6.138717,-4.4696765,3.835064698671093e-07,Other Genes
ABCA3,-24.72476,10.370995,1.366611721685295e-07,Other Genes
ABCA4,20.604858,14.635057,2.330840528992321e-09,Other Genes
ABCA5,18.07491,42.9929,1.5185615396190836e-06,Other Genes
ABCA6,3.838661,6.4711027,3.216596948484241e-06,Other Genes
ABCA7,-39.503487,13.685892,1.5595491080937065e-06,Other Genes
ABCA8,23.72892,-33.68707,1.0413824211236603e-08,Other Genes
ABCA9,1.4736427,-46.407906,2.2830876806005942e-07,Other Genes
ABCA9-AS1,8.663785,22.910698,6.992521586933123e-09,Other Genes
ABCB1,-6.007417,-0.9222977,3.969628351654224e-06,Other Genes
ABCB10,9.827135,12.116707,7.217550676856268e-07,Other Genes
ABCB11,0.2636736,23.883682,2.4880504136827063e-07,Other Genes
ABCB4,-31.467329,-27.122955,3.653204606353297e-07,Other Genes
ABCB5,-2.3066578,-16.374592,2.3173009682160812e-07,Other Genes
ABCB6,-34.857677,36.756664,6.73368480679366e-07,Other Genes
ABCB7,22.082687,5.497556,1.0878740938691214e-07,Other Genes
ABCB8,-13.538564,45.41775,1.1565049196421645e-06,Other Genes
ABCB9,28.002466,-23.563038,1.2508445164243244e-07,Other Genes
ABCC1,0.14238636,3.5468304,5.01402718439753e-07,Other Genes
ABCC10,-4.7867193,29.14065,3.033886072368954e-07,Other Genes
ABCC11,-24.778963,-14.666991,5.4849714322476553e-08,Other Genes
ABCC2,-0.6092616,-16.63834,7.24107616239041e-08,Other Genes
ABCC3,-20.494417,1.3300868,1.8188658247179707e-05,Other Genes
ABCC4,-22.575363,-26.354738,1.5757521933371997e-06,Other Genes
ABCC5,-30.85458,31.375532,5.264867213544766e-06,Other Genes
ABCC5-AS1,8.554138,9.326071,6.579061487351712e-09,Other Genes
ABCC6,-0.86224127,-18.675112,2.2669122531869432e-07,Other Genes
ABCC8,13.470404,12.140583,2.7443010948358466e-09,Other Genes
ABCC9,9.418786,6.752635,2.5902787248465652e-08,Other Genes
ABCD1,15.1399975,1.4161042,1.2643596348308546e-06,Other Genes
ABCD2,-18.439178,-12.754539,9.177946633141392e-07,Other Genes
ABCD3,-6.8369513,0.4074557,5.1701025965160095e-06,Other Genes
ABCD4,46.263924,17.210514,8.887096585283795e-07,Other Genes
ABCE1,11.2155695,-18.29666,2.4931638517815246e-06,Other Genes
ABCF1,-43.0248,10.545721,7.002764674329603e-06,Other Genes
ABCF2,16.8577,11.349398,5.950834740830326e-08,Other Genes
ABCF3,22.96678,3.8962104,1.4541994513621968e-06,Other Genes
ABCG1,17.314213,-28.796835,1.2859599980401445e-06,Other Genes
ABCG2,37.948246,-15.053423,1.2308961380489464e-07,Other Genes
ABCG5,-32.43699,6.25864,1.8910267060187353e-08,Other Genes
ABCG8,-1.5085824,15.178821,3.740238017310756e-08,Other Genes
ABHD1,-20.53477,-1.4780613,1.4925592512259258e-07,Other Genes
ABHD10,21.845013,-11.693847,3.4512531101244777e-06,Other Genes
ABHD11,6.645428,-8.776174,1.8696912729364629e-06,Other Genes
ABHD12,-7.7312913,24.112667,1.618863965399386e-05,Other Genes
ABHD12B,-12.451346,-9.53896,2.1809283850670264e-09,Other Genes
ABHD13,-22.428085,17.837057,1.400548838857534e-06,Other Genes
ABHD14A,-9.360562,-17.249784,2.2642098914745615e-06,Other Genes
ABHD14B,25.481888,-24.401642,2.7638169759063527e-06,Other Genes
ABHD15,-6.1880817,-18.023212,1.523791204820022e-06,Other Genes
ABHD15-AS1,-20.328144,0.36762792,1.0770945825633619e-07,Other Genes
ABHD16A,34.180058,7.8505783,4.376434739197081e-06,Other Genes
ABHD16B,-27.119839,-20.8174,5.488602189306365e-09,Other Genes
ABHD17A,14.521283,-41.78679,8.181141710850279e-06,Other Genes
ABHD17B,24.474424,35.232986,9.321084166650604e-07,Other Genes
ABHD17C,16.380281,5.035147,2.5406074362789023e-06,Other Genes
ABHD18,31.266182,-19.797003,1.1581466453855953e-06,Other Genes
ABHD2,11.778021,2.723959,1.161432155317419e-05,Other Genes
ABHD3,5.011859,-24.60445,8.458286732279543e-06,Other Genes
ABHD4,10.550215,-12.262305,1.585650432271215e-06,Other Genes
ABHD5,17.4099,2.6372747,1.4767103317181462e-06,Other Genes
ABHD6,-14.792904,8.298594,3.1427168755198956e-06,Other Genes
ABHD8,-10.124681,-10.801879,2.5901166586966372e-06,Other Genes
ABI1,-15.814142,-9.492498,1.078980521648944e-05,Other Genes
ABI2,15.888022,-6.770687,2.651069290435449e-06,Other Genes
ABI3,21.241901,7.229644,1.8420646065178694e-05,Other Genes
ABI3BP,17.039402,-38.441097,1.1150319417361292e-07,Other Genes
ABITRAM,-20.798515,18.411377,6.107330682727963e-07,Other Genes
ABL1,-9.707351,-47.9666,2.7305956142810118e-06,Other Genes
ABL2,-13.583812,5.4221816,1.3389856907884368e-05,Other Genes
ABLIM1,-26.780188,37.94415,4.69863536392238e-06,Other Genes
ABLIM2,-11.286503,35.62652,8.782236256703932e-08,Other Genes
ABLIM3,-9.440173,11.2076235,1.876035817688197e-08,Other Genes
ABO,0.95242923,-7.9480977,7.35690903265743e-08,Other Genes
ABR,-2.8899703,14.233015,1.0838670387576357e-05,Other Genes
ABRA,0.9265195,12.088031,8.763140456665825e-08,Other Genes
ABRACL,-19.06415,-22.510868,1.8846645018725445e-05,Other Genes
ABRAXAS1,14.987437,13.524776,2.7667592313302684e-07,Other Genes
ABRAXAS2,28.958735,-24.380398,7.990936724294188e-07,Other Genes
ABT1,4.2682714,13.489672,6.413292603174901e-07,Other Genes
ABTB1,-40.260136,7.149053,5.013120975277991e-06,Other Genes
ABTB2,3.1098402,21.436543,2.7919702331557834e-06,Other Genes
AC000032.1,-15.316057,-28.84264,1.0229344554807859e-07,Other Genes
AC000035.1,-21.644773,7.0255804,2.330840528992321e-09,Other Genes
AC000036.1,13.708293,-17.143549,4.248221424709186e-09,Other Genes
AC000058.1,10.745184,-26.611269,4.661681057970029e-09,Other Genes
AC000065.1,-41.341625,18.17257,1.7329041722882728e-08,Other Genes
AC000065.2,-37.68529,-9.606278,3.7670621966950864e-08,Other Genes
AC000068.1,19.498066,22.227318,8.699071840353357e-08,Other Genes
AC000068.2,-0.10627671,20.510132,2.63547023847937e-10,Other Genes
AC000068.3,24.43003,-42.780342,5.19192116912717e-08,Other Genes
AC000072.1,-35.032585,-14.851635,5.075141623755102e-09,Other Genes
AC000085.1,1.1956642,11.478841,1.0000365976586748e-08,Other Genes
AC000120.1,-11.374189,-8.092264,4.018767287835971e-08,Other Genes
AC000123.1,30.96584,-3.7704823,2.2631407953263604e-08,Other Genes
AC000124.1,-20.971228,-24.231236,6.579061487351712e-09,Other Genes
AC000403.1,3.5655668,-6.8017187,1.0162121946959027e-07,Other Genes
AC001226.1,21.415659,1.7959759,8.53005645050825e-08,Other Genes
AC002044.1,33.899986,-9.515729,4.0228730764077044e-08,Other Genes
AC002059.1,-4.75923,7.7587976,2.1318466520970925e-08,Other Genes
AC002069.2,-1.2052908,3.6187599,5.075141623755102e-09,Other Genes
AC002070.1,-12.258322,-30.259874,1.1654202644815474e-08,Other Genes
AC002074.1,21.68882,15.923465,3.537606896475464e-08,Other Genes
AC002076.1,-31.682951,29.508177,4.661681057970029e-09,Other Genes
AC002091.1,8.364816,-1.1408538,3.4058385974458195e-08,Other Genes
AC002091.2,10.900929,23.163391,4.223635315592808e-07,Other Genes
AC002094.2,-0.5628467,-21.951193,2.759293377836201e-08,Other Genes
AC002094.4,9.5577345,11.659544,5.6249594102127186e-08,Other Genes
AC002115.1,3.6930585,2.879862,4.661681057970029e-09,Other Genes
AC002116.2,-18.276995,28.579647,8.177039834566909e-08,Other Genes
AC002128.1,-27.289192,9.996879,5.327322124772961e-08,Other Genes
AC002128.2,-16.766935,-24.588898,9.323362115881605e-09,Other Genes
AC002306.1,45.107132,-4.6040974,5.44760645151974e-09,Other Genes
AC002310.1,-22.760736,31.738213,7.050330240333281e-07,Other Genes
AC002310.2,-25.803751,-6.253661,5.5604060378870835e-08,Other Genes
AC002347.1,-26.094002,-8.9073,1.0940918716149035e-08,Other Genes
AC002351.1,29.308525,-11.724347,6.579061487351712e-09,Other Genes
AC002375.1,17.387947,-11.837099,6.579061487351712e-09,Other Genes
AC002377.1,13.311159,40.588894,2.891063256862688e-08,Other Genes
AC002378.1,-24.269098,1.1200854,6.992521586933123e-09,Other Genes
AC002383.1,27.661964,28.013153,3.571223624958527e-09,Other Genes
AC002398.1,6.9859595,4.8799863,2.8383546912143932e-08,Other Genes
AC002398.2,30.297235,18.201777,4.661681057970029e-09,Other Genes
AC002401.1,-12.348608,31.13421,1.3985043173734727e-08,Other Genes
AC002401.2,-9.329872,-14.38365,2.330840528992321e-09,Other Genes
AC002401.4,-4.4454246,2.3236432,1.5039226612569776e-09,Other Genes
AC002407.1,-27.754633,31.63895,8.232904216169594e-09,Other Genes
AC002429.2,18.85834,9.847571,2.097756476040481e-08,Other Genes
AC002451.1,-51.37517,0.42036054,4.998998687225036e-07,Other Genes
AC002454.1,-11.379096,-1.1536422,5.4472662471261225e-08,Other Genes
AC002456.1,-1.1737351,26.989168,4.3703027506017257e-07,Other Genes
